Date,High,Low,Open,Close,Gap,Positive,Negative
2019-07-25,47200.0,46600.0,47150.0,47200.0,50.0,36.0,19.0
2019-07-26,47150.0,46550.0,46650.0,47150.0,-50.0,35.0,39.0
2019-07-29,47050.0,46000.0,46800.0,46100.0,-100.0,21.0,19.0
2019-07-30,46850.0,46300.0,46300.0,46550.0,-200.0,33.0,40.0
2019-07-31,46600.0,45000.0,46200.0,45350.0,-250.0,47.0,55.0
2019-08-01,45500.0,44850.0,44900.0,45200.0,-1100.0,35.0,24.0
2019-08-02,45500.0,44300.0,44550.0,44950.0,0.0,33.0,32.0
2019-08-05,44600.0,43600.0,44350.0,43950.0,-900.0,22.0,29.0
2019-08-06,43800.0,42500.0,42500.0,43500.0,-800.0,31.0,49.0
2019-08-07,43900.0,43100.0,43600.0,43200.0,100.0,26.0,26.0
2019-08-08,43500.0,42650.0,43250.0,42650.0,-400.0,36.0,35.0
2019-08-09,43350.0,43050.0,43250.0,43150.0,-150.0,23.0,20.0
2019-08-12,44000.0,43550.0,44000.0,43700.0,650.0,39.0,24.0
2019-08-13,43500.0,42950.0,43500.0,43000.0,-500.0,36.0,37.0
2019-08-14,44250.0,43500.0,43900.0,43700.0,750.0,22.0,12.0
2019-08-16,43900.0,43300.0,43800.0,43900.0,-350.0,53.0,82.0
2019-08-19,44350.0,43500.0,44350.0,43600.0,450.0,27.0,35.0
2019-08-20,44600.0,43550.0,43950.0,44450.0,250.0,20.0,23.0
2019-08-21,44800.0,44150.0,44350.0,44500.0,200.0,20.0,36.0
2019-08-22,44700.0,43850.0,44500.0,44050.0,-100.0,32.0,31.0
2019-08-23,44200.0,43650.0,43800.0,43950.0,-500.0,14.0,14.0
2019-08-26,43800.0,42950.0,43050.0,43600.0,-400.0,54.0,49.0
2019-08-27,44200.0,43600.0,43650.0,44050.0,400.0,25.0,43.0
2019-08-28,44400.0,43750.0,44100.0,44150.0,200.0,26.0,32.0
2019-08-29,44200.0,43050.0,44200.0,43400.0,-200.0,31.0,56.0
2019-08-30,44300.0,43750.0,43750.0,44000.0,100.0,27.0,28.0
2019-09-02,44850.0,43650.0,44850.0,43800.0,550.0,41.0,34.0
2019-09-03,43650.0,43100.0,43550.0,43250.0,-1200.0,20.0,29.0
2019-09-04,44100.0,43150.0,43250.0,44100.0,450.0,42.0,32.0
2019-09-05,46100.0,44450.0,44800.0,45700.0,2000.0,30.0,30.0
